epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4514.17,0.86464,0.79826,1.25942,0.84422,0.85934,0.89744,0.70368,0.86606,0.65465,1.26409,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4653.99,0.86489,0.79552,1.25744,0.8758,0.83164,0.89942,0.70733,0.8577,0.64779,1.25806,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4787.88,0.86501,0.79312,1.25453,0.87457,0.83528,0.90097,0.7111,0.85947,0.64374,1.25817,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4908.55,0.8593,0.78026,1.25291,0.86909,0.82844,0.89804,0.7096,0.85667,0.64493,1.25559,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5034.87,0.85416,0.78209,1.25286,0.8709,0.8364,0.89879,0.71394,0.849,0.64211,1.25025,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5159.61,0.85002,0.77034,1.24705,0.87221,0.83567,0.90206,0.71463,0.84513,0.63588,1.24553,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5283.2,0.84203,0.76629,1.24407,0.87198,0.83619,0.90124,0.71393,0.84451,0.63768,1.24473,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5414.87,0.84066,0.75624,1.24033,0.86616,0.84431,0.90244,0.71476,0.8462,0.63234,1.24478,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5550.2,0.8415,0.75429,1.24322,0.88716,0.82695,0.90294,0.71564,0.84525,0.62796,1.24232,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5678.95,0.84076,0.75269,1.23545,0.88455,0.8294,0.90029,0.71474,0.84281,0.62479,1.2383,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
